objectid,parentid,object_location,image_small,image_thumb,title,Location,member of,creator,date,image description,subject,source,original,type,format,display_template,Publisher,Pages,Shelf Locator,OCLC Number,identifier,description,FHL Connection,language,rightsstatement,rights,latitude,longitude
qr0,,/objects/witchhazel01.png,/objects/small/witchhazel01_sm.jpg,/objects/thumbs/witchhazel01_th.jpg,Witch Hazel (Hamamelis vernalis),Behind McCabe,,,,,,,,record,compound_object,compound_object,,,,,,"Quakers relied on networks to maintain the faith spread across a large area in the 17th and 18th centuries, but they also used these networks to share spiritual messages, news, and botanical specimens. Some Friends involved include names we know, like John Bartram, but we’re going to meet a few more today. Bartram’s most regular English correspondent was Peter Collinson, a London Quaker. They traded plants and seeds regularly and it was through Bartram that Collinson introduced witch botanical hazel to England. Actually, Collinson is credited with having introduced nearly 200 new species of plant into Britain. He started collecting seeds as a young man and an early letter of his describes his botanical adventures as escapes ‘from the hurrys of the town to breathe the air of content and quiet’. His work with plants was recognized and Collinson became a fellow of the Royal Society, of which he remained a fellow for 40 years. He played a key role in providing British collectors with plants from abroad, especially from America. He was responsible for introducing nearly 200 new species of plant into Britain. He also corresponded with and wrote scientific papers with Linnaeus and Benjamin Franklin, as well as Sir Hans Sloane, whose collections were the basis of the British Museum and the British Library. Some plants introduced to Britain by Collinson include Silver Maples, Azaleas, Richweed - Collinsonia canadensis, Smooth Hydrangea , Siberian lily - Lilium pensylvanicum, Wild Sweet William, Rhododendron, Poison Ivy, Elderberry, and Viburnum dentatum (which we will talk about later).","Darlington, William, and Peter Collinson. Memorials of John Bartram and Humphry Marshall: With Notices of Their Botanical Contemporaries. Philadelphia: Lindsay & Blakiston, 1849.",,,,39.905735,-75.352803
qr1,qr0,/objects/witchhazel01.png,/objects/small/witchhazel01_sm.jpg,/objects/thumbs/witchhazel01_th.jpg,Witch Hazel illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a Witch Hazel tree illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,Botanical illustration; Botany in Pennsylvania; Samuel Copeland Palmer; watercolor; Hamamelis vernalis,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,,http://rightsstatements.org/page/NoC-US/1.0/ ,No Copyright-United States,,
qr2,qr0,/objects/witchhazel02.png,/objects/small/witchhazel02_sm.jpg,/objects/thumbs/witchhazel02_th.jpg,Sketch of Witch Hazel,,Friends Historical Library of Swarthmore College,Ann Fothergill,1881/1899,"A sketch of a Witch Hazel branch illustrated by Anne Fothergill alongside other sketches within an album with watercolors of plants. Initialled ""AF"" [Ann Fothergill], many named in latin with location and date",Botanical illustration; Botany in Pennsylvania; Ann Fothergill; Fothergill; watercolor; Hamamelis vernalis,Swarthmore College Friends Historical Library,image,Image;StillImage,image/png,image,,,"Fothergill Family Papers, SFHL-RG5-270",,Box: 2,,,,http://rightsstatements.org/page/NoC-US/1.0/ ,No Copyright-United States,,
qr3,qr0,/objects/witchmarshall01.png,/objects/small/witchmarshall01_sm.jpg,/objects/thumbs/witchmarshall01_th.jpg,Humphrey Marshall Book: Witch Hazel,,Humphrey Marshall Book,"Marshall, Humphrey, 1722-1801",1785,"Arbustrum Americanum: the American grove: or, An alphabetical catalogue of forest trees and shrubs, natives of the American United States, arranged according to the Linnaean system ... Containing, the particular distinguishing characters of each genus, with plain, simple and familiar descriptions of the manner of growth, appearance, &c. of their several species and varieties. Also, some hints of their uses in medicine, dyes, and domestic oeconomy. Compiled from actual knowledge and observation, and the assistance of botanical authors",Botany in Pennsylvania; Humphrey Marshall; book,Swarthmore College Friends Historical Library,"xx, 174 p. ; 21 cm Rebound in brown half-leather",Image;StillImage,image/png,image,Philadelphia: Joseph Crukshank,58 & 59,BX7615.M391 A7,BRO5004778178,,,,English,http://rightsstatements.org/page/NoC-US/1.0/ ,No Copyright-United States,,
qr4,,/objects/americanelm01.png,/objects/small/americanelm01_sm.jpg,/objects/thumbs/americanelm01_th.jpg,American Elm (Ulmus Americana),Behind McCabe,,,,,,,,record,compound_object,compound_object,,,,,,"There is a legend of a treaty between the Lenni Lenape and William Penn taking place under an elm, the Treaty Tree at Shackamaxon, in 1682. Despite no written record of this happening under an elm, the council by Penn's Elm became iconic. In the 1870s that elm was immortalized in the Frieze of American History in the Rotunda of the US Capitol. Benjamin West painted it in his 1771 painting and Edward Hicks included the ‘Treaty Elm’ in many of his 62 Peaceable Kingdoms in the 19th century. The elm itself fell in a gale in 1810, and there were actual eulogies in newspapers around the country. Souvenir hunters snatched bits of the tree until all that was left was the trunk. Horticulturists took cuttings that grew into second-generation trees. And Penn Treaty Park, which the City of Philadelphia opened in 1894. If I can reference an article written by Jared Farmer in 2019 Journal of American History: the celebrations and veneration of the Treaty Elm references Indigenous tree culture. Farmer wrote that ‘The early tree-themed peace medals from colonial Pennsylvania owed as much to native symbology as European’. Farmer wrote about The Hiawatha wampum belt of the Haudenosaunee —and its oral constitution— which featured the tree under which Mohawks, Oneidas, Onondagas, Cayugas, and Senecas came to agreement. While the treaty itself has become associated with the theft of Native lands by colonizers, the symbol of the elm is connected to peace.","Charles Smith Ogden family Papers, RG5-108: a leaf and bark from Penn's Treaty Elm. Plus a lot about the Elm in the Peace Collection",,,,39.90577,-75.352738
qr5,qr4,/objects/mccabearea01.png,/objects/small/mccabearea01_sm.jpg,/objects/thumbs/mccabearea01_th.jpg,M07 McCabe Library-Historic Trees (Key),,Swarthmore College Archives,Scott Arboretum Records,~1983,Key to map containing important trees around McCabe Library,historical records;maps;trees;arboretum records;McCabe Library;American Elm,Swarthmore College Archives,image,Image;StillImage,image/png,image,,,RG 6/S-001 Swarthmore College Archives,,Box 23,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,39.90580624,-75.35257848
qr6,qr4,/objects/mccabearea02.png,/objects/small/mccabearea02_sm.jpg,/objects/thumbs/mccabearea02_th.jpg,M07 McCabe Library-Historic Trees (Map),,Swarthmore College Archives,Scott Arboretum Records,~1983,Map containing important trees around McCabe Library,historical records;maps;trees;arboretum records;McCabe Library;American Elm,Swarthmore College Archives,image,Image;StillImage,image/png,image,,,RG 6/S-001 Swarthmore College Archives,,Box 23,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr7,qr4,/objects/elmleafchart01.png,/objects/small/elmleafchart01_sm.jpg,/objects/thumbs/elmleafchart01_th.jpg,American Elm Leaf Chart,,Graceanna Lewis Leaf Charts,"Lewis, Graceanna",1850/1912,Poster detailing elm leaves,Botanical illustration; trees in art; elm; women artists,Swarthmore College Friends Historical Library,text,Image;StillImage,image/png,image,,,"Lewis-Fussel Family Papers, SFHL-RG5-088",,A00185904_8,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr8,qr4,/objects/americanelm01.png,/objects/small/americanelm01_sm.jpg,/objects/thumbs/americanelm01_th.jpg,American Elm illustration,,Friends Historical Library of Swarthmore College,"Palmer, Samuel Copeland",1951,A sketch of a American Elm branch illustrated by Professor Samuel Palmer (1874-1964) as part of a collection of watercolors gifted to the College in 1952.,Botanical illustration; Botany in Pennsylvania; Samuel Copeland Palmer; watercolor; pawpaw,Department of Biology Bone Room,image,Image;StillImage,image/png,image,,,,,,,,English,http://rightsstatements.org/page/NoC-US/1.0/,No Copyright-United States,,
qr9,,/objects/pawpaw01.png,/objects/small/pawpaw01_sm.jpg,/objects/thumbs/pawpaw01_th.jpg,Pawpaw (Asimina triloba),Behind McCabe,,,,,,,,record,compound_object,compound_object,,,,,,"In 1773, Quaker Humphry Marshall established the second botanical garden in the colonies, after John Bartram, his cousin. He was born in 1722 in Chester County, was educated to the age of 12 in stonemasonry, then worked as a farmer. He became interested in the natural world and started to collect books on the topic and specimens. By 1764, he had accumulated enough land and wealth that he had a greenhouse and an observatory. By 1785, he had published, Arbustrum Americanum, one of if not the first published work on just botany. In a 1935 article about Marshall, Francis Pennell described him as, ‘One can imagine the man of middle years, after his long hours of farm work, finding time to make nearly all its descriptions from actual living plants in his garden or in the woods of Chester County. Each genus and each species received a short but clear account…’ Called by some the ""Father of American Dendrology"", Marshall corresponded with Peter Collinson (who we talked about earlier) and John Fothergill (who we will talk about more), both of them in England. He also exchanged letters with Sir Hans Sloane. Paw Paw is native and Marshall found it during his studies of Pennsylvania plantlife for Arbustrum Americanum. He noted that ‘This grows common in rich bottoms or by river sides, in Pennsylvania… The fruit is often found growing two or three together, which soon falls off, becomes very mellow and turns of a yellow color'. (p. 10)",Humphry Marshall ,,,,39.90548,-75.351829
